problem,click_depth,filter_depth,iterative_distance,number_filters,query_frequency,relevant_new_info,number_measures,consideration_time,elapsed_time,number_cells,rqp,iterative_precision,click_per_query,view_area_increase,execution_time,number_aggregations,aggregation_depth,iterative_recall,number_queries,expected_knowledge,log-position,last-position,sequence,score
dibstudent03--2016-09-24--23-01.log-0,-0.2634135673,-0.3753098313,-0.7047755645,-0.488242589,5.415163866,0.9514106203,2.2370719425,-0.3585282888,-0.9285312136,-0.199032703,-1.6766450126,-0.1248170664,-0.6175567376,17.9980459274,-0.1534457171,-1.275846248,-1.3893855276,0.956849521,-1.3115378229,0,33,36,dibstudent03--2016-09-24--23-01.log,-1.12799110715569
dibstudent03--2016-09-24--23-01.log-1,-0.4989636035,-0.3753098313,-0.7047755645,-0.488242589,2.1788132076,0.9514106203,2.2370719425,-0.3818779042,-0.9228254057,-0.199032703,-1.5804725619,0.9372741394,-0.6175567376,-0.1444585767,-0.1594927281,-1.275846248,-1.3893855276,0.956849521,-1.2624364971,0,33,36,dibstudent03--2016-09-24--23-01.log,-0.151444811440609
dibstudent03--2016-09-24--23-01.log-10,3.5053870118,-0.3753098313,-0.7047755645,-0.488242589,-0.1082008958,0.2134933391,2.2370719425,-0.4028442901,-0.7327618036,-0.0849678655,-0.7149205064,0.9372741394,0.6883594209,-0.1444585767,-0.1469955721,-0.2836421386,-0.5173876397,0.956849521,-0.8205245649,1,33,36,dibstudent03--2016-09-24--23-01.log,1.95415456015169
dibstudent03--2016-09-24--23-01.log-11,3.2698369756,-0.3753098313,-0.2094252255,-0.488242589,-0.0729016302,0.6179604547,1.0632520095,-0.3026732333,-0.7308812426,-0.1296019324,-0.6187480558,0.9372741394,3.9531498169,-0.1444585767,-0.1534457171,-0.2836421386,-0.5173876397,0.3103120825,-0.7714232391,1,33,36,dibstudent03--2016-09-24--23-01.log,1.17781407982801
dibstudent03--2016-09-24--23-01.log-12,3.0342869394,-0.3753098313,-0.2094252255,-0.488242589,-0.0594831423,0.2134933391,2.2370719425,-0.3832957749,-0.7203084853,-0.0849678655,-0.5225756052,0.285536354,0.3618803812,-0.1444585767,-0.1530425831,-0.2836421386,-0.5173876397,0.956849521,-0.7223219133,1,33,36,dibstudent03--2016-09-24--23-01.log,1.53282862677869
dibstudent03--2016-09-24--23-01.log-13,2.7987369032,-0.3753098313,-0.7047755645,-0.488242589,-0.0311257591,0.2134933391,2.2370719425,-0.4037945652,-0.7166285009,-0.0849678655,-0.4264031545,0.9372741394,0.3618803812,-0.1444585767,-0.1215981263,-0.2836421386,-0.5173876397,0.956849521,-0.6732205875,1,33,36,dibstudent03--2016-09-24--23-01.log,1.65149999186282
dibstudent03--2016-09-24--23-01.log-14,2.563186867,-0.3753098313,-0.7047755645,-0.488242589,0.0004101087,0.2134933391,2.2370719425,-0.248718728,-0.7145830473,-0.0849678655,-0.3302307039,0.9372741394,0.3618803812,-0.1444585767,-0.0772533795,-0.2836421386,-0.5173876397,0.956849521,-0.6241192617,1,33,36,dibstudent03--2016-09-24--23-01.log,1.55402590029404
dibstudent03--2016-09-24--23-01.log-15,2.3276368308,-0.3753098313,-0.7047755645,-0.488242589,-0.0020469548,0.2134933391,2.2370719425,-0.3559489708,-0.699288603,-0.0849678655,-0.2340582533,0.9372741394,0.3618803812,-0.1444585767,-0.1405454272,-0.2836421386,-0.5173876397,0.956849521,-0.5750179359,1,33,36,dibstudent03--2016-09-24--23-01.log,1.43066574840271
dibstudent03--2016-09-24--23-01.log-16,2.0920867946,-0.3753098313,-0.7047755645,-0.488242589,0.0172506483,0.2134933391,2.2370719425,-0.4033118858,-0.6932975048,-0.0849678655,-0.1378858027,0.9372741394,0.3618803812,-0.1444585767,-0.1405454272,-0.2836421386,-0.5173876397,0.956849521,-0.5259166101,1,33,36,dibstudent03--2016-09-24--23-01.log,1.31458639725251
dibstudent03--2016-09-24--23-01.log-17,1.8565367584,-0.3753098313,-0.7047755645,-0.488242589,0.045628174,0.2134933391,2.2370719425,-0.095980869,-0.691396005,-0.0849678655,-0.0417133521,0.9372741394,0.3618803812,-0.1444585767,-0.1344984162,-0.2836421386,-0.5173876397,0.956849521,-0.4768152843,1,33,36,dibstudent03--2016-09-24--23-01.log,1.22876254507212
dibstudent03--2016-09-24--23-01.log-18,1.6209867222,-0.3753098313,-0.2094252255,-0.488242589,0.0103019586,1.7358661716,3.4108918756,-0.255777914,-0.6623395709,-0.0403337987,0.0544590985,0.4385530514,1.6677965397,1.1939229031,0.0166768569,-0.2836421386,-0.5173876397,0.956849521,-0.4277139585,1,33,36,dibstudent03--2016-09-24--23-01.log,1.08107218554279
